epoch,train_loss,recon_loss,kl_loss,val_loss
1,1916.8006384183684,1891.026216238661,25.774422670276287,1864.6238414983081
2,1850.4908188139386,1816.8606828070053,33.63013355323421,1843.5433147454717
3,1837.02568362497,1801.038821793578,35.98685968745395,1836.8806665505574
4,1831.4524497107777,1793.8447662119365,37.607681679298814,1832.6962043130475
5,1827.8955725940598,1788.820023870834,39.075550425692896,1829.1672060049264
6,1825.584687450048,1785.496902036545,40.08778478422433,1827.2338260723527
7,1824.0765699303668,1783.2898615766364,40.78670849031804,1829.6704529197352
8,1823.0636517068615,1781.7216100668359,41.34203906925133,1826.7445402692078
9,1822.0840316733436,1780.3003360523896,41.78369706975835,1825.6633984997015
10,1820.9590243366367,1778.8209225393623,42.138102768022385,1824.2817351711783
11,1820.6580509273597,1778.1958220108695,42.46222948235319,1823.926051826234
12,1820.0750566955724,1777.3205886411545,42.754468639793295,1822.8189712815984
13,1819.5264112077405,1776.5506786922056,42.97573091063048,1822.6466678692277
14,1819.1420643994265,1775.9344950722307,43.20757011257474,1823.1570337380574
15,1818.7916539184882,1775.5230122832081,43.26864105478272,1822.601452869974
16,1818.6812655163542,1775.2853465360754,43.39591992175792,1822.49940364376
17,1818.450310358306,1774.9229005779453,43.52741045354272,1821.7711189415804
18,1818.0545694882912,1774.4383693217012,43.616200234883884,1821.2602228055334
19,1817.6296837848165,1773.8824910898038,43.74719331453523,1820.6710197302946
20,1817.468377857257,1773.7599406132613,43.70843700496742,1820.5720533626095
21,1817.2089122567336,1773.3275930107097,43.88131832893547,1821.008020097283
22,1816.9927630412303,1772.9565047242147,44.03625781456833,1820.0355115756868
23,1816.8460996193653,1772.80275591682,44.043343531811026,1820.0527234897493
24,1816.8506997345048,1772.7567658485355,44.09393446158875,1820.8968482533837
25,1816.6431656859415,1772.462685353311,44.180480600927794,1819.8608297360172
26,1816.425014173893,1772.2763539189878,44.14866043051795,1819.5655750833498
27,1816.405959341532,1772.103535137518,44.30242564306235,1819.5734008011545
28,1816.1530385517403,1771.8582428056566,44.2947960338934,1819.425164678294
29,1816.2033525940099,1771.8125930356857,44.390758743676386,1820.4448537644307
30,1815.903739129186,1771.5496904221948,44.35404915090107,1819.5074299611863
31,1815.8641259078784,1771.4656795101703,44.398446846496114,1818.9567715590167
32,1815.8798071039303,1771.4300515255354,44.449753295430135,1818.9325604286923
33,1815.7095730286426,1771.2657206893882,44.44385190510079,1818.4584712131768
34,1815.4774116847825,1771.0424690734394,44.434941425957646,1818.8399735954915
35,1815.6452524326646,1771.1213500664362,44.52390505407777,1819.0981398661424
36,1815.2926538960098,1770.7227953352283,44.56985877054122,1818.222392671427
37,1815.5659891504156,1771.0204463090433,44.5455438706576,1818.9801390824045
38,1815.35684680207,1770.8198473215714,44.53699973903959,1820.7098481974024
39,1815.149062524976,1770.62494583325,44.524117038073136,1818.8521806267415
40,1815.1158426972606,1770.5826515919716,44.533189539409356,1818.3141421178343
41,1815.122973039632,1770.5339566203945,44.58901661436271,1819.489474739998
42,1815.1896259278592,1770.5571106425332,44.63251567069832,1818.6530613990346
43,1814.8732252974644,1770.1976747634772,44.675551119362915,1818.358996348776
44,1814.8717927664443,1770.2213827850264,44.65040966921755,1819.5011553916202
45,1814.8950654246923,1770.2885664137427,44.606498884118125,1818.8656666749603
46,1814.8324875307205,1770.1447986495464,44.68768692992227,1819.364175395601
47,1814.8108067817395,1770.1373291015625,44.67347947532868,1819.8230182623408
48,1814.8064977933684,1770.1499680619106,44.65653108269967,1818.5300619526274
49,1814.7059780423294,1770.0525962263728,44.653381757419126,1818.335512197701
50,1814.697237526974,1770.0269071378975,44.67032956955073,1818.501257246467
51,1814.815021797824,1770.117161275176,44.697859093356314,1818.910998301901
52,1814.7197758901455,1770.0837989280292,44.63597737187924,1818.3563574529758
53,1814.5348044002758,1769.8614747030351,44.67332904357129,1818.4941616179838
54,1814.541031859415,1769.8490096382473,44.69202076260696,1818.4335649818372
55,1814.4727099484494,1769.8661495901436,44.60655931438632,1817.912895445611
56,1814.4511517380815,1769.7821035555867,44.66904634831811,1818.7145047521894
57,1814.3143582161126,1769.6463234357516,44.668033619366035,1818.585412675408
58,1814.3641964651436,1769.6773402221368,44.68685781376441,1818.2818113679339
59,1814.4744389136429,1769.787252674932,44.687185550894576,1817.6743848278265
60,1814.2221815494624,1769.5195590358255,44.702623869756906,1817.9357933481788
61,1814.390121577036,1769.6572499775216,44.73287226294008,1818.0706343924164
62,1814.292305636589,1769.5866577460638,44.7056486856602,1817.609901379628
63,1814.0138911957022,1769.3733186453505,44.64057207229497,1818.4452712915506
64,1814.1830726877197,1769.5036070060241,44.6794644133819,1819.5881783066282
65,1814.009714736353,1769.266281557205,44.74343495966529,1817.72498958126
66,1814.0620624512967,1769.3881940524595,44.67386715003597,1817.8022437611962
67,1814.1241870304507,1769.3987139533547,44.725471028281596,1817.935464458101
68,1814.0847779881315,1769.4541184213156,44.630659483887655,1818.2728022678643
69,1814.1729573983976,1769.4624113975583,44.71054710329646,1818.9812618182723
70,1814.1771338577466,1769.446292184503,44.73084053176139,1818.1897750174164
71,1814.0533469119646,1769.3545939647938,44.69875340571489,1817.4585660703622
72,1814.0949616493167,1769.3985458334998,44.69641630362977,1817.7149821481887
73,1814.0111158912443,1769.3230603308325,44.68805675555373,1818.3953663042396
74,1813.8834205100604,1769.2058509768124,44.677569001531964,1818.9373133957006
75,1814.0182938441596,1769.278584902244,44.73970929314108,1818.0807032494029
76,1813.8573794157608,1769.0739624335638,44.78341386507234,1818.1430897317873
77,1813.9443822992428,1769.21076376054,44.73361750453939,1818.7312555981289
78,1813.734925253007,1769.0546987392104,44.68022588451805,1818.020715409783
79,1813.5706289149916,1768.90075964574,44.66987111318447,1817.4484886606788
80,1813.7925866168478,1769.0726156015226,44.71997098605651,1817.8360875609574
81,1813.6822097661245,1768.9616589948648,44.72054957123974,1817.83362282917
82,1813.7868276142403,1769.079713475064,44.707114509914234,1818.6079676925756
83,1813.7720405598125,1769.0124836407049,44.75955547518132,1817.5916530341858
84,1813.6719897336056,1768.9812147525874,44.69077391758599,1817.945104902717
85,1813.703674004206,1768.98376730214,44.719903706894506,1818.2881217033241
86,1813.72478295836,1769.0151468652593,44.70963588821918,1817.3701070797672
87,1813.7209302507092,1769.0069383391944,44.71399419447955,1817.7344900726512
88,1813.800107365679,1769.117847179208,44.68225988402696,1818.4643002649782
89,1813.6613988071451,1768.8644800991049,44.79691921048762,1817.79356510624
90,1813.685266831342,1768.9872995361952,44.69796888541688,1817.2090465764331
91,1813.6337800086917,1768.8588807869446,44.77489717293273,1818.7373077975717
92,1813.7106469976322,1768.9452589576506,44.76539033758061,1817.8918099373009
93,1813.5245124055907,1768.8477514710878,44.67676151500029,1818.8147960104002
94,1813.5961378639006,1768.841180591632,44.75495824301639,1817.7352831409235
95,1813.6045135732197,1768.8634563943615,44.74105750081484,1818.2409636868033
96,1813.525535017633,1768.77725695832,44.748276361723995,1817.937056037271
97,1813.5771219004755,1768.8405863183843,44.73653660162026,1817.5688056702827
98,1813.6046631171575,1768.9083640642484,44.69629978462863,1818.2292900328423
99,1813.5697636518942,1768.8817301016024,44.68803402347028,1817.8959121218154
100,1813.5072867547156,1768.8192286967012,44.68805802874553,1818.3442211758559
